iter	Passed	Remaining
0	523	51791
1	877	42990
2	1238	40029
3	1515	36377
4	1919	36473
5	2243	35151
6	2518	33463
7	2809	32313
8	3106	31414
9	3383	30455
10	3666	29662
11	3919	28744
12	4227	28295
13	4505	27673
14	4788	27134
15	5075	26644
16	5353	26136
17	5685	25898
18	5982	25504
19	6311	25244
20	6588	24783
21	6860	24323
22	7125	23856
23	7401	23437
24	7728	23184
25	8125	23127
26	8414	22749
27	8706	22387
28	8987	22004
29	9313	21731
30	9626	21426
31	9961	21168
32	10282	20876
33	10583	20544
34	10868	20184
35	11228	19961
36	11541	19651
37	11809	19268
38	12093	18915
39	12408	18612
40	12714	18296
41	13009	17965
42	13292	17619
43	13685	17418
44	13971	17075
45	14266	16748
46	14568	16428
47	14873	16112
48	15178	15798
49	15477	15477
50	15770	15151
51	16063	14827
52	16345	14495
53	16609	14148
54	16960	13877
55	17252	13555
56	17551	13240
57	17852	12927
58	18143	12608
59	18424	12283
60	18709	11961
61	18990	11639
62	19253	11307
63	19512	10975
64	19825	10675
65	20153	10382
66	20435	10065667	20735	9757668	21051	9458669	21334	9143770	21613	8827771	21915	8522772	22175	8201773	22478	7897774	22748	7582775	23039	7275776	23294	6958777	23572	6648778	23819	6331779	24123	6030880	24440	5732881	24809	5446882	25132	5147883	25427	4843884	25726	4539885	26053	4241886	26384	3942887	26571	3623888	26851	331889	27210	3023
90	27512	2721
91	27787	2416
92	28027	2109
93	28370	1810
94	28633	1507
95	28874	1203
96	29115	900997	29359	599998	29554	298999	29671	0

